seed_model,alpha,interp_type,acc_t1,acc_t3,gain
15,0.7,zero,0.610000,0.670000,0.060000
15,0.7,shuffle,0.610000,0.665000,0.055000
15,0.7,clone,0.610000,0.560000,-0.050000
15,0.8,zero,0.610000,0.660000,0.050000
15,0.8,shuffle,0.610000,0.675000,0.065000
15,0.8,clone,0.610000,0.580000,-0.030000
15,0.9,zero,0.610000,0.665000,0.055000
15,0.9,shuffle,0.610000,0.665000,0.055000
15,0.9,clone,0.610000,0.615000,0.005000
15,1.0,zero,0.610000,0.655000,0.045000
15,1.0,shuffle,0.610000,0.655000,0.045000
15,1.0,clone,0.610000,0.655000,0.045000
16,0.0,zero,0.800000,0.800000,0.000000
16,0.0,shuffle,0.800000,0.705000,-0.095000
16,0.0,clone,0.800000,0.825000,0.025000
16,0.1,zero,0.800000,0.835000,0.035000
16,0.1,shuffle,0.800000,0.725000,-0.075000
16,0.1,clone,0.800000,0.825000,0.025000
16,0.2,zero,0.800000,0.830000,0.030000
16,0.2,shuffle,0.800000,0.760000,-0.040000
16,0.2,clone,0.800000,0.830000,0.030000
16,0.3,zero,0.800000,0.845000,0.045000
16,0.3,shuffle,0.800000,0.785000,-0.015000
16,0.3,clone,0.800000,0.820000,0.020000
16,0.4,zero,0.800000,0.845000,0.045000
16,0.4,shuffle,0.800000,0.815000,0.015000
16,0.4,clone,0.800000,0.825000,0.025000
16,0.5,zero,0.800000,0.855000,0.055000
16,0.5,shuffle,0.800000,0.805000,0.005000
16,0.5,clone,0.800000,0.835000,0.035000
16,0.6,zero,0.800000,0.855000,0.055000
16,0.6,shuffle,0.800000,0.820000,0.020000
16,0.6,clone,0.800000,0.840000,0.040000
16,0.7,zero,0.800000,0.850000,0.050000
16,0.7,shuffle,0.800000,0.830000,0.030000
16,0.7,clone,0.800000,0.840000,0.040000
16,0.8,zero,0.800000,0.840000,0.040000
16,0.8,shuffle,0.800000,0.845000,0.045000
16,0.8,clone,0.800000,0.845000,0.045000
