w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.3,1.0,1.5,1,0.785,0.855,0.85,0.06499999999999995,3.1077269925026174,1.9137602269522356
0.0,0.3,1.0,1.5,2,0.67,0.775,0.785,0.11499999999999999,3.19760649948999,2.5486742841706573
0.0,0.3,1.0,1.5,3,0.76,0.79,0.77,0.010000000000000009,3.213755778046842,1.8641232454271475
0.0,0.3,1.0,1.5,4,0.78,0.845,0.85,0.06999999999999995,3.193893758129359,1.6821352830080027
0.0,0.3,1.0,1.5,5,0.73,0.8,0.785,0.05500000000000005,2.829669078157628,1.470011328773789
0.0,0.3,1.0,1.5,9,0.76,0.84,0.84,0.07999999999999996,2.8441964557496933,1.808016971938251
0.0,0.3,1.0,1.5,7,0.81,0.82,0.8,-0.010000000000000009,2.671141984793315,1.6059584889700391
0.0,0.3,1.0,1.5,8,0.675,0.76,0.76,0.08499999999999996,3.2045411068380547,2.1315360088159476
0.0,0.3,1.0,1.5,6,0.745,0.675,0.675,-0.06999999999999995,2.5917774194168355,1.0983474080203885
0.0,0.3,1.0,2.0,1,0.8,0.85,0.845,0.04499999999999993,2.7494738949143733,1.8035641402591103
0.0,0.3,1.0,2.0,0,0.805,0.83,0.815,0.009999999999999898,2.6408161745646805,1.8916111452733326
0.0,0.3,1.0,2.0,2,0.645,0.79,0.795,0.15000000000000002,2.950266181485885,2.418986154074564
0.0,0.3,1.0,2.0,4,0.76,0.84,0.85,0.08999999999999997,2.728978115895846,1.7201977459757618
0.0,0.3,1.0,2.0,5,0.735,0.795,0.795,0.06000000000000005,2.5524652094701903,1.3277647856324413
0.0,0.3,1.0,2.0,3,0.74,0.79,0.755,0.015000000000000013,3.049621311667681,1.8830524245168159
0.0,0.3,1.0,3.0,1,0.81,0.86,0.85,0.039999999999999925,2.2320085075602747,1.6486876760186526
0.0,0.3,1.0,2.0,6,0.77,0.715,0.71,-0.06000000000000005,2.201490753137218,0.9623284648426065
0.0,0.3,1.0,2.0,7,0.83,0.84,0.82,-0.010000000000000009,2.340636024097603,1.4452256449058183
0.0,0.3,1.0,3.0,0,0.77,0.825,0.83,0.05999999999999994,2.181028224513513,1.6998268264423608
0.0,0.3,1.0,2.0,9,0.795,0.835,0.83,0.03499999999999992,2.501921048841873,1.603535506376324
0.0,0.3,1.0,3.0,2,0.665,0.78,0.795,0.13,2.584686159262298,2.116631758652827
0.0,0.3,1.0,2.0,8,0.71,0.75,0.76,0.050000000000000044,2.799595874182734,1.7981705421090086
0.0,0.3,1.0,3.0,3,0.765,0.775,0.785,0.020000000000000018,2.693863358801062,1.7168805779883534
0.0,0.3,1.0,3.0,7,0.815,0.835,0.82,0.0050000000000000044,1.893009869908052,1.2364973020544066
