seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
3,C2,0,1.0,0.500000,0.460000,0.385000,-0.115000,0.326750,3.281891,6.849765
4,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.014955,2.836890,2.163991
4,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.201297,0.000000,0.000000
4,C1,avg30,0.0,1.000000,,0.891500,-0.108500,,,
4,C2,0,0.0,1.000000,1.000000,0.625000,-0.375000,0.239459,1.815526,1.041506
4,Baseline,0,0.1,0.990000,1.000000,1.000000,0.010000,0.015792,2.847697,2.335286
4,A,0,0.1,0.990000,0.990000,0.990000,0.000000,0.198624,0.000000,0.705322
4,C1,avg30,0.1,0.990000,,0.885167,-0.104833,,,
4,C2,0,0.1,0.990000,0.935000,0.755000,-0.235000,0.111615,1.805717,1.256944
4,Baseline,0,0.2,0.965000,1.000000,1.000000,0.035000,0.019577,2.878200,2.668193
4,A,0,0.2,0.965000,0.955000,0.950000,-0.015000,0.169333,0.000000,1.409584
4,C1,avg30,0.2,0.965000,,0.862667,-0.102333,,,
4,C2,0,0.2,0.965000,0.890000,0.815000,-0.150000,0.098949,1.822488,1.756829
4,Baseline,0,0.3,0.900000,0.995000,1.000000,0.100000,0.030013,2.919145,3.105882
4,A,0,0.3,0.900000,0.905000,0.910000,0.010000,0.145488,0.000000,2.131162
4,C1,avg30,0.3,0.900000,,0.828500,-0.071500,,,
4,C2,0,0.3,0.900000,0.860000,0.805000,-0.095000,0.062271,1.860942,2.370699
4,Baseline,0,0.4,0.830000,0.980000,1.000000,0.170000,0.054350,2.977673,3.612616
4,A,0,0.4,0.830000,0.850000,0.835000,0.005000,0.098475,0.000000,2.866095
4,C1,avg30,0.4,0.830000,,0.783500,-0.046500,,,
4,C2,0,0.4,0.830000,0.810000,0.780000,-0.050000,0.073137,1.912128,3.013921
4,Baseline,0,0.5,0.755000,0.940000,0.965000,0.210000,0.066730,3.047048,4.153357
4,A,0,0.5,0.755000,0.760000,0.760000,0.005000,0.041196,0.000000,3.588837
4,C1,avg30,0.5,0.755000,,0.738500,-0.016500,,,
4,C2,0,0.5,0.755000,0.775000,0.725000,-0.030000,0.063905,1.983118,3.644388
4,Baseline,0,0.6,0.685000,0.885000,0.880000,0.195000,0.058007,3.136986,4.728781
4,A,0,0.6,0.685000,0.730000,0.695000,0.010000,0.056864,0.000000,4.272860
4,C1,avg30,0.6,0.685000,,0.695167,0.010167,,,
4,C2,0,0.6,0.685000,0.735000,0.660000,-0.025000,0.109932,2.065680,4.257703
4,Baseline,0,0.7,0.650000,0.825000,0.825000,0.175000,0.052450,3.230336,5.311100
4,A,0,0.7,0.650000,0.670000,0.645000,-0.005000,0.136596,0.000000,4.926384
4,C1,avg30,0.7,0.650000,,0.651333,0.001333,,,
4,C2,0,0.7,0.650000,0.685000,0.625000,-0.025000,0.124459,2.149774,4.847850
4,Baseline,0,0.8,0.585000,0.795000,0.775000,0.190000,0.104514,3.322105,5.885548
4,A,0,0.8,0.585000,0.645000,0.600000,0.015000,0.151304,0.000000,5.547117
4,C1,avg30,0.8,0.585000,,0.608500,0.023500,,,
4,C2,0,0.8,0.585000,0.620000,0.570000,-0.015000,0.174938,2.231648,5.424310
4,Baseline,0,0.9,0.535000,0.715000,0.700000,0.165000,0.142655,3.411152,6.452514
4,A,0,0.9,0.535000,0.605000,0.535000,0.000000,0.220834,0.000000,6.159022
4,C1,avg30,0.9,0.535000,,0.562500,0.027500,,,
