seed,w1,w2,tau,gain,acc_t1,acc_t3,final_loss
0,1.0,0.2,1.0,0.09500000000000008,0.825,0.92,0.3888917592875385
1,1.0,0.2,1.0,0.015000000000000013,0.89,0.905,0.2641440965847903
2,1.0,0.2,1.0,0.11499999999999999,0.835,0.95,0.32723306244729755
3,1.0,0.2,1.0,0.14,0.735,0.875,0.3889531066654181
4,1.0,0.2,1.0,0.10000000000000009,0.835,0.935,0.28350747248611624
5,1.0,0.2,1.0,0.14500000000000002,0.765,0.91,0.3540676537446478
6,1.0,0.2,1.0,0.10499999999999998,0.725,0.83,0.6214139953143707
7,1.0,0.2,1.0,0.03500000000000003,0.835,0.87,0.46836914603856095
8,1.0,0.2,1.0,0.14500000000000002,0.765,0.91,0.39728534738012194
9,1.0,0.2,1.0,0.07499999999999996,0.885,0.96,0.2639824360840244
0,1.0,0.2,1.5,0.09500000000000008,0.835,0.93,0.36829317137796935
1,1.0,0.2,1.5,0.04500000000000004,0.87,0.915,0.26222252011996017
2,1.0,0.2,1.5,0.135,0.83,0.965,0.326094422824223
3,1.0,0.2,1.5,0.17000000000000004,0.725,0.895,0.40345579885888816
4,1.0,0.2,1.5,0.07000000000000006,0.845,0.915,0.27421944795427167
5,1.0,0.2,1.5,0.125,0.77,0.895,0.35526674607762204
6,1.0,0.2,1.5,0.09499999999999997,0.74,0.835,0.5879237844599028
7,1.0,0.2,1.5,0.040000000000000036,0.845,0.885,0.43823788868161623
8,1.0,0.2,1.5,0.15000000000000002,0.76,0.91,0.3874269673331881
9,1.0,0.2,1.5,0.07499999999999996,0.875,0.95,0.27701073356527645
0,1.0,0.2,2.0,0.09000000000000008,0.84,0.93,0.3500213044110978
1,1.0,0.2,2.0,0.030000000000000027,0.875,0.905,0.25911370324461064
2,1.0,0.2,2.0,0.13,0.83,0.96,0.32654102405802826
3,1.0,0.2,2.0,0.14500000000000002,0.73,0.875,0.4147275965726762
