seed,condition,T_max,t,accuracy
2,baseline,15,9,0.840000
2,baseline,15,10,0.830000
2,baseline,15,11,0.830000
2,baseline,15,12,0.830000
2,baseline,15,13,0.835000
2,baseline,15,14,0.845000
2,baseline,15,15,0.845000
2,group_a,15,1,0.710000
2,group_a,15,2,0.710000
2,group_a,15,3,0.710000
2,group_a,15,4,0.710000
2,group_a,15,5,0.710000
2,group_a,15,6,0.710000
2,group_a,15,7,0.710000
2,group_a,15,8,0.710000
2,group_a,15,9,0.710000
2,group_a,15,10,0.710000
2,group_a,15,11,0.710000
2,group_a,15,12,0.710000
2,group_a,15,13,0.710000
2,group_a,15,14,0.710000
2,group_a,15,15,0.710000
2,group_c1,15,1,0.710000
2,group_c1,15,2,0.693000
2,group_c1,15,3,0.674833
2,group_c1,15,4,0.670000
2,group_c1,15,5,0.686000
2,group_c1,15,6,0.684333
2,group_c1,15,7,0.679000
2,group_c1,15,8,0.685667
2,group_c1,15,9,0.695000
2,group_c1,15,10,0.679333
2,group_c1,15,11,0.676333
2,group_c1,15,12,0.678333
2,group_c1,15,13,0.687333
2,group_c1,15,14,0.684833
2,group_c1,15,15,0.682000
2,group_c2,15,1,0.710000
2,group_c2,15,2,0.735000
2,group_c2,15,3,0.730000
2,group_c2,15,4,0.735000
2,group_c2,15,5,0.745000
2,group_c2,15,6,0.745000
2,group_c2,15,7,0.740000
2,group_c2,15,8,0.730000
2,group_c2,15,9,0.730000
2,group_c2,15,10,0.730000
2,group_c2,15,11,0.730000
2,group_c2,15,12,0.730000
2,group_c2,15,13,0.730000
2,group_c2,15,14,0.730000
2,group_c2,15,15,0.730000
2,baseline,20,1,0.710000
2,baseline,20,2,0.820000
2,baseline,20,3,0.825000
2,baseline,20,4,0.830000
2,baseline,20,5,0.840000
2,baseline,20,6,0.840000
2,baseline,20,7,0.835000
2,baseline,20,8,0.840000
2,baseline,20,9,0.840000
2,baseline,20,10,0.830000
2,baseline,20,11,0.830000
2,baseline,20,12,0.830000
2,baseline,20,13,0.835000
2,baseline,20,14,0.845000
2,baseline,20,15,0.845000
2,baseline,20,16,0.845000
2,baseline,20,17,0.835000
2,baseline,20,18,0.835000
2,baseline,20,19,0.835000
2,baseline,20,20,0.840000
2,group_a,20,1,0.710000
2,group_a,20,2,0.710000
2,group_a,20,3,0.710000
2,group_a,20,4,0.710000
2,group_a,20,5,0.710000
2,group_a,20,6,0.710000
2,group_a,20,7,0.710000
2,group_a,20,8,0.710000
2,group_a,20,9,0.710000
2,group_a,20,10,0.710000
2,group_a,20,11,0.710000
2,group_a,20,12,0.710000
2,group_a,20,13,0.710000
2,group_a,20,14,0.710000
2,group_a,20,15,0.710000
2,group_a,20,16,0.710000
2,group_a,20,17,0.710000
2,group_a,20,18,0.710000
2,group_a,20,19,0.710000
2,group_a,20,20,0.710000
2,group_c1,20,1,0.710000
2,group_c1,20,2,0.690167
2,group_c1,20,3,0.673167
2,group_c1,20,4,0.676333
2,group_c1,20,5,0.694000
2,group_c1,20,6,0.678333
2,group_c1,20,7,0.681667
2,group_c1,20,8,0.673667
2,group_c1,20,9,0.684667
2,group_c1,20,10,0.684000
2,group_c1,20,11,0.678500
2,group_c1,20,12,0.678667
2,group_c1,20,13,0.677833
2,group_c1,20,14,0.683167
2,group_c1,20,15,0.680333
2,group_c1,20,16,0.679667
2,group_c1,20,17,0.679500
2,group_c1,20,18,0.679833
2,group_c1,20,19,0.690667
2,group_c1,20,20,0.677333
2,group_c2,20,1,0.710000
2,group_c2,20,2,0.735000
2,group_c2,20,3,0.730000
2,group_c2,20,4,0.735000
2,group_c2,20,5,0.745000
2,group_c2,20,6,0.745000
2,group_c2,20,7,0.740000
2,group_c2,20,8,0.730000
2,group_c2,20,9,0.730000
2,group_c2,20,10,0.730000
2,group_c2,20,11,0.730000
2,group_c2,20,12,0.730000
2,group_c2,20,13,0.730000
2,group_c2,20,14,0.730000
2,group_c2,20,15,0.730000
2,group_c2,20,16,0.730000
2,group_c2,20,17,0.730000
2,group_c2,20,18,0.730000
2,group_c2,20,19,0.730000
2,group_c2,20,20,0.730000
3,baseline,3,1,0.725000
3,baseline,3,2,0.735000
3,baseline,3,3,0.770000
3,group_a,3,1,0.725000
3,group_a,3,2,0.725000
3,group_a,3,3,0.725000
3,group_c1,3,1,0.725000
3,group_c1,3,2,0.663833
3,group_c1,3,3,0.651167
3,group_c2,3,1,0.725000
3,group_c2,3,2,0.565000
3,group_c2,3,3,0.475000
3,baseline,5,1,0.725000
3,baseline,5,2,0.735000
3,baseline,5,3,0.770000
3,baseline,5,4,0.760000
3,baseline,5,5,0.780000
3,group_a,5,1,0.725000
3,group_a,5,2,0.725000
3,group_a,5,3,0.725000
3,group_a,5,4,0.725000
3,group_a,5,5,0.725000
3,group_c1,5,1,0.725000
3,group_c1,5,2,0.672667
3,group_c1,5,3,0.643333
3,group_c1,5,4,0.648500
3,group_c1,5,5,0.633500
3,group_c2,5,1,0.725000
3,group_c2,5,2,0.565000
3,group_c2,5,3,0.475000
3,group_c2,5,4,0.460000
3,group_c2,5,5,0.480000
3,baseline,7,1,0.725000
3,baseline,7,2,0.735000
3,baseline,7,3,0.770000
3,baseline,7,4,0.760000
3,baseline,7,5,0.780000
3,baseline,7,6,0.750000
3,baseline,7,7,0.770000
3,group_a,7,1,0.725000
3,group_a,7,2,0.725000
3,group_a,7,3,0.725000
3,group_a,7,4,0.725000
3,group_a,7,5,0.725000
3,group_a,7,6,0.725000
3,group_a,7,7,0.725000
3,group_c1,7,1,0.725000
3,group_c1,7,2,0.667167
3,group_c1,7,3,0.634667
3,group_c1,7,4,0.629833
3,group_c1,7,5,0.639333
3,group_c1,7,6,0.654333
3,group_c1,7,7,0.636667
3,group_c2,7,1,0.725000
3,group_c2,7,2,0.565000
3,group_c2,7,3,0.475000
3,group_c2,7,4,0.460000
3,group_c2,7,5,0.480000
3,group_c2,7,6,0.480000
3,group_c2,7,7,0.465000
3,baseline,10,1,0.725000
3,baseline,10,2,0.735000
3,baseline,10,3,0.770000
3,baseline,10,4,0.760000
3,baseline,10,5,0.780000
3,baseline,10,6,0.750000
3,baseline,10,7,0.770000
3,baseline,10,8,0.755000
3,baseline,10,9,0.770000
3,baseline,10,10,0.745000
3,group_a,10,1,0.725000
3,group_a,10,2,0.725000
3,group_a,10,3,0.725000
3,group_a,10,4,0.725000
3,group_a,10,5,0.725000
3,group_a,10,6,0.725000
3,group_a,10,7,0.725000
3,group_a,10,8,0.725000
3,group_a,10,9,0.725000
3,group_a,10,10,0.725000
3,group_c1,10,1,0.725000
3,group_c1,10,2,0.676500
3,group_c1,10,3,0.643667
3,group_c1,10,4,0.642833
3,group_c1,10,5,0.646000
3,group_c1,10,6,0.633500
3,group_c1,10,7,0.641500
3,group_c1,10,8,0.646167
3,group_c1,10,9,0.650333
3,group_c1,10,10,0.644833
3,group_c2,10,1,0.725000
3,group_c2,10,2,0.565000
3,group_c2,10,3,0.475000
3,group_c2,10,4,0.460000
3,group_c2,10,5,0.480000
3,group_c2,10,6,0.480000
3,group_c2,10,7,0.465000
3,group_c2,10,8,0.465000
3,group_c2,10,9,0.455000
3,group_c2,10,10,0.460000
3,baseline,15,1,0.725000
3,baseline,15,2,0.735000
3,baseline,15,3,0.770000
3,baseline,15,4,0.760000
3,baseline,15,5,0.780000
3,baseline,15,6,0.750000
3,baseline,15,7,0.770000
3,baseline,15,8,0.755000
3,baseline,15,9,0.770000
3,baseline,15,10,0.745000
3,baseline,15,11,0.760000
3,baseline,15,12,0.745000
3,baseline,15,13,0.760000
3,baseline,15,14,0.745000
3,baseline,15,15,0.760000
3,group_a,15,1,0.725000
3,group_a,15,2,0.725000
3,group_a,15,3,0.725000
3,group_a,15,4,0.725000
3,group_a,15,5,0.725000
3,group_a,15,6,0.725000
3,group_a,15,7,0.725000
3,group_a,15,8,0.725000
3,group_a,15,9,0.725000
3,group_a,15,10,0.725000
3,group_a,15,11,0.725000
3,group_a,15,12,0.725000
3,group_a,15,13,0.725000
3,group_a,15,14,0.725000
3,group_a,15,15,0.725000
3,group_c1,15,1,0.725000
3,group_c1,15,2,0.676333
3,group_c1,15,3,0.651833
3,group_c1,15,4,0.652167
3,group_c1,15,5,0.646000
3,group_c1,15,6,0.644500
3,group_c1,15,7,0.650167
3,group_c1,15,8,0.637000
3,group_c1,15,9,0.642833
3,group_c1,15,10,0.648500
3,group_c1,15,11,0.640333
3,group_c1,15,12,0.650000
3,group_c1,15,13,0.642333
3,group_c1,15,14,0.642000
3,group_c1,15,15,0.646833
3,group_c2,15,1,0.725000
3,group_c2,15,2,0.565000
3,group_c2,15,3,0.475000
3,group_c2,15,4,0.460000
3,group_c2,15,5,0.480000
3,group_c2,15,6,0.480000
3,group_c2,15,7,0.465000
3,group_c2,15,8,0.465000
3,group_c2,15,9,0.455000
3,group_c2,15,10,0.460000
3,group_c2,15,11,0.475000
3,group_c2,15,12,0.470000
3,group_c2,15,13,0.480000
3,group_c2,15,14,0.470000
3,group_c2,15,15,0.470000
3,baseline,20,1,0.725000
3,baseline,20,2,0.735000
3,baseline,20,3,0.770000
3,baseline,20,4,0.760000
3,baseline,20,5,0.780000
3,baseline,20,6,0.750000
3,baseline,20,7,0.770000
3,baseline,20,8,0.755000
3,baseline,20,9,0.770000
3,baseline,20,10,0.745000
3,baseline,20,11,0.760000
3,baseline,20,12,0.745000
3,baseline,20,13,0.760000
3,baseline,20,14,0.745000
3,baseline,20,15,0.760000
3,baseline,20,16,0.745000
3,baseline,20,17,0.760000
3,baseline,20,18,0.745000
