seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
0,80,178,4,1,0.09249813509759819,0.06488311689654058,0.07869062599706939
0,81,75,3,0,0.3282121583836193,0.11840660408551407,0.22330938123456667
0,82,127,1,1,0.028221825248450516,0.013303096834910044,0.02076246104168028
0,83,102,4,1,0.411572614026285,0.4037118726181018,0.4076422433221934
0,84,171,1,1,0.4129742559816957,0.07142592676678017,0.24220009137423792
0,85,127,1,1,0.014472279071484628,0.011417414692804773,0.0129448468821447
0,86,34,4,1,0.17060516654130653,0.1606522768796591,0.16562872171048282
0,87,37,4,1,0.08048176401036944,0.03868403582269364,0.05958289991653154
0,88,57,2,1,0.09097187721097921,0.008638230949102543,0.04980505408004088
0,89,142,3,1,0.7145055440544981,0.8791569427965552,0.7968312434255267
0,90,58,0,1,0.25006880319789004,0.05726227356138158,0.1536655383796358
0,91,6,0,1,0.3366354857487225,0.38208340952290076,0.3593594476358116
0,92,89,3,1,0.044408513956941564,0.01089274278913721,0.027650628373039388
0,93,3,0,0,1.1382735007875695,0.8069279263696847,0.9726007135786271
0,94,61,1,1,0.029234178417974266,0.027201774049250615,0.02821797623361244
0,95,178,4,1,0.14039020215315168,0.08294158356071923,0.11166589285693546
0,96,132,3,1,0.07916105181928168,0.004418721530504932,0.041789886674893306
0,97,46,4,1,0.1866771004696398,0.1603932371873198,0.1735351688284798
0,98,102,4,1,0.7821637039682422,1.0452974254025968,0.9137305646854195
0,99,183,1,0,0.08589009057746055,0.13111529773136743,0.10850269415441399
0,100,2,2,1,0.22937158144600078,0.1017453159255377,0.16555844868576924
0,101,10,0,0,0.22168744062614,0.1649277311081906,0.1933075858671653
0,102,87,4,1,0.5819983967912442,0.8765867423051262,0.7292925695481852
0,103,87,4,1,0.083373414794362,0.03454931976067899,0.05896136727752049
0,104,109,0,1,0.1252733232481268,0.02207896502615936,0.07367614413714307
0,105,13,4,1,0.17645936971398002,0.22980022984583248,0.20312979977990625
0,106,79,3,1,0.06572412894967739,0.010620124457035085,0.038172126703356235
0,107,168,3,1,0.17496667547228606,0.5815110233222014,0.3782388493972437
0,108,138,3,1,0.13112217281655025,0.1863868187390536,0.15875449577780193
0,109,133,0,1,0.009163257137599357,0.0076247243846988555,0.008393990761149106
0,110,152,1,1,0.374746435378829,0.09600967833597518,0.2353780568574021
0,111,39,0,1,0.0469709784440302,0.06034711945776916,0.05365904895089968
0,112,17,3,1,0.356676331888241,0.09134144184644577,0.22400888686734338
0,113,81,3,0,0.7359522145056969,0.4916884649623853,0.6138203397340412
0,114,125,2,1,0.22923030960872415,0.3637055930714501,0.29646795134008713
0,115,55,3,1,0.2647366037598652,0.057226415453771606,0.1609815096068184
0,116,121,1,1,0.1411019039773176,0.1470312748818643,0.14406658942959094
0,117,95,4,1,0.08722030973257555,0.24333894551485558,0.16527962762371556
0,118,84,1,1,0.06419712555375023,0.05440408288963816,0.0593006042216942
0,119,59,3,1,0.7319027112364854,0.31768779172035044,0.524795251478418
0,120,70,0,1,0.08861069497128804,0.12487468816227743,0.10674269156678273
0,121,160,1,1,0.577265559394621,1.27115599670024,0.9242107780474305
0,122,193,4,1,0.4390012982781988,1.214613875332518,0.8268075868053584
0,123,107,3,1,0.198009278669661,0.579202625406344,0.3886059520380025
0,124,127,1,1,0.007996302317115345,0.006000526357873404,0.006998414337494374
0,125,199,2,1,0.2102148950570346,0.2254512333670885,0.21783306421206156
0,126,60,1,1,0.04712966145832309,0.010510334687908074,0.028819998073115582
